log_data_id,vin,seq,timestamp_IST,trigger_timestamp_IST,trigger_source_event
2219,MA1VP271BR6J81417,-19.9,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.8,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.7,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.6,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.5,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.4,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.3,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.2,56:06.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.2,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.1,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19,56:07.0,56:26.0,TRIG_AEB_WARNING_MSG
2219,MA1VP271BR6J81417,-19.9,05:48.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.9,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.8,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.7,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.6,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.5,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.4,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.3,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.2,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.1,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19,05:49.0,06:08.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.9,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.8,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.7,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.6,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.5,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.4,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.3,38:16.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.2,38:17.0,38:36.0,TRIG_AES_WARNING
2219,MA1VP271BR6J81417,-19.1,38:17.0,38:36.0,TRIG_AES_WARNING
