trigger_source_event
TRIG_ACC_SYS_INFO
TRIG_AEB_WARNING_MSG
TRIG_AES_WARNING
TRIG_ELK_ONCOMING_WARNING
TRIG_ELK_OVERTAKING_WARNING
TRIG_ELK_SIDE_WARNING
TRIG_LCF_SYS_STATE
TRIG_SPA_LCF_HANDSOFF_WARNING
TRIG_STS_CRASH
TRIG_STS_EMERGENCY_BRK
