trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,AES_SYS_STS,2,2,2
TRIG_AEB_WARNING_MSG,AES_TARGET_POS,163.8,26.46670066,0
TRIG_AEB_WARNING_MSG,AES_TARGET_TTC,3,2.108235294,0
TRIG_AEB_WARNING_MSG,AES_TARGET_VALIDITY,1,0.324324324,0
TRIG_AEB_WARNING_MSG,AES_TARGET_VELOCITY,7.6,-1.572151899,-14.4
TRIG_AEB_WARNING_MSG,AES_USM_STS,1,1,1
TRIG_AEB_WARNING_MSG,AES_WARNING,4,0.307692308,0
TRIG_AEB_WARNING_MSG,ALERT_MESSAGE,0,0,0
TRIG_AEB_WARNING_MSG,AMBIENT_TEMP,38.9,34.53289474,20.5
TRIG_AEB_WARNING_MSG,APA_ACTIVE,0,0,0
TRIG_AEB_WARNING_MSG,APA_TORQUE,-8000,-8000,-8000
TRIG_AEB_WARNING_MSG,APA_TORQUE_STS,0,0,0
TRIG_AEB_WARNING_MSG,ASIL_IGN_STS,2,2,2
TRIG_AEB_WARNING_MSG,AUTO_LIGHT,0,0,0
TRIG_AEB_WARNING_MSG,AUTO_RAIN,0,0,0
TRIG_AEB_WARNING_MSG,AVH_ACTIVE_STS,2,2,2
TRIG_AEB_WARNING_MSG,AVH_FUNCTION_STS,1,1,1
TRIG_AEB_WARNING_MSG,AVH_STS_CLUSTER,0,0,0
TRIG_AEB_WARNING_MSG,AVH_SWT_STS,0,0,0
TRIG_AEB_WARNING_MSG,AWD_MALFUNCTION_TT,0,0,0
TRIG_AEB_WARNING_MSG,B2Z_ACTIVE,0,0,0
TRIG_AEB_WARNING_MSG,BATTERY_PACK_VOLTAGE,0,0,0
TRIG_AEB_WARNING_MSG,BCU_TqMinLimFrntActv,0,0,0
TRIG_AEB_WARNING_MSG,BCU_TqMinLimReActv,1,0.09947644,0
TRIG_AEB_WARNING_MSG,BDW_ACTIVE,0,0,0
TRIG_AEB_WARNING_MSG,BMS_SERVICE_LIGHT_TT,0,0,0
TRIG_AEB_WARNING_MSG,BRAKE_FLUID_LEVEL_IEB,0,0,0
TRIG_AEB_WARNING_MSG,BRAKE_PED_TRAVEL_POSITION,50,9.305389222,0
TRIG_AEB_WARNING_MSG,BRAKE_PEDAL_VALUE,46,10.6424581,0
TRIG_AEB_WARNING_MSG,BRK_FL_TEMP,0,0,0
TRIG_AEB_WARNING_MSG,BRK_FR_TEMP,0,0,0
TRIG_AEB_WARNING_MSG,BRK_PREFER_REQ,0,0,0
TRIG_AEB_WARNING_MSG,BRK_RL_TEMP,0,0,0
TRIG_AEB_WARNING_MSG,BRK_RR_TEMP,0,0,0
TRIG_AEB_WARNING_MSG,BRK_SWITCH,1,0.351351351,0
TRIG_AEB_WARNING_MSG,BSD_STR_VIB_REQ,0,0,0
TRIG_AEB_WARNING_MSG,BSD_SYS_STATE,2,1.455252918,0
